form_name,submissions,completed,site,month
Enrollment Verification,342,338,Muskegon Heights Academy,2025-02
Transfer Request,87,82,Oakview Elementary,2025-02
Immunization Record,215,210,Nelson Elementary,2025-02
Free/Reduced Lunch Application,456,448,Muskegon Middle School,2025-02
Emergency Contact Update,178,175,Reeths-Puffer Intermediate,2025-02
Enrollment Verification,298,295,Muskegon High School,2025-02
Bus Route Change,64,61,Lakeside Elementary,2025-02
Transfer Request,45,42,Central Office,2025-02
Immunization Record,189,185,Muskegon Heights Academy,2025-01
Free/Reduced Lunch Application,412,405,Muskegon Middle School,2025-01
